OT 95,Rehnquist,Stevens,O’Connor,Scalia,Kennedy,Souter,Thomas,Ginsburg,Breyer
Ginsburg,79%,78%,67%,80%,69%,NA,87%,74%,90%
Breyer,73%,82%,66%,76%,65%,87%,NA,70%,90%
Alito,88%,61%,82%,85%,85%,74%,70%,NA,69%
Sotomayor,78%,84%,69%,78%,69%,90%,90%,69%,NA
,,,,,,,,,
OT 10,Roberts,Scalia,Kennedy,Thomas,Ginsburg,Breyer,Alito,Sotomayor,Kagan
Roberts,NA,90%,90%,89%,65%,72%,96%,71%,69%
Scalia,90%,NA,83%,86%,65%,65%,86%,67%,70%
Kennedy,90%,83%,NA,86%,66%,74%,88%,73%,72%
Thomas,89%,86%,86%,NA,65%,70%,89%,68%,66%
Ginsburg,65%,65%,66%,65%,NA,85%,63%,85%,91%
Breyer,72%,65%,74%,70%,85%,NA,69%,87%,87%
Alito,96%,86%,88%,89%,63%,69%,NA,72%,68%
Sotomayor,71%,67%,73%,68%,85%,87%,72%,NA,94%
Kagan,69%,70%,72%,66%,91%,87%,68%,94%,NA
,,,,,,,,,
OT 11,Roberts,Scalia,Kennedy,Thomas,Ginsburg,Breyer,Alito,Sotomayor,Kagan
Roberts,NA,86%,84%,88%,64%,70%,91%,71%,73%
Scalia,86%,NA,76%,93%,56%,57%,88%,64%,66%
Kennedy,84%,76%,NA,81%,73%,77%,78%,78%,83%
Thomas,88%,93%,81%,NA,56%,63%,88%,64%,69%
Ginsburg,64%,56%,73%,56%,NA,83%,57%,84%,85%
Breyer,70%,57%,77%,63%,83%,NA,67%,80%,85%
Alito,91%,88%,78%,88%,57%,67%,NA,64%,70%
Sotomayor,71%,64%,78%,64%,84%,80%,64%,NA,84%
Kagan,73%,66%,83%,69%,85%,85%,70%,84%,NA
,,,,,,,,,
OT 12,Roberts,Scalia,Kennedy,Thomas,Ginsburg,Breyer,Alito,Sotomayor,Kagan
Roberts,NA,85%,85%,86%,65%,74%,90%,65%,67%
Scalia,85%,NA,77%,86%,68%,62%,77%,65%,68%
Kennedy,85%,77%,NA,76%,73%,77%,81%,75%,72%
Thomas,86%,86%,76%,NA,59%,68%,88%,61%,61%
